code,LA,UK,nonUK
E09000001,City of London,4327,4256
E09000002,Barking and Dagenham,128483,90388
E09000003,Barnet,221293,168051
E09000004,Bexley,194714,51759
E09000005,Brent,149239,190577
E09000006,Bromley,263052,66939
E09000007,Camden,114647,95489
E09000008,Croydon,254536,136183
E09000009,Ealing,180561,186554
E09000010,Enfield,196824,133160
E09000011,Greenwich,180578,108490
E09000012,Hackney,156219,102927
E09000013,Hammersmith and Fulham,99818,83339
E09000014,Haringey,143117,121121
E09000015,Harrow,127612,133591
E09000016,Havering,211166,50887
E09000017,Hillingdon,188260,117649
E09000018,Hounslow,145556,142625
E09000019,Islington,130213,86376
E09000020,Kensington and Chelsea,66063,77312
E09000021,Kingston upon Thames,111412,56649
E09000022,Lambeth,195091,122563
E09000023,Lewisham,193483,107068
E09000024,Merton,127245,87940
E09000025,Newham,162447,188588
E09000026,Redbridge,174963,135297
E09000027,Richmond upon Thames,139053,56223
E09000028,Southwark,182392,125246
E09000029,Sutton,151447,58191
E09000030,Tower Hamlets,165081,145225
E09000031,Waltham Forest,171070,107356
E09000032,Wandsworth,203322,124184

E09000033,Westminster,90702,113534
